3000,sequel,HG09
2068,handcuffed-to-a-bed,H5321
157,jane-austen,J5235
8309,narcotic,N6232
1059,woods,W32
3991,hanging,H5252
2148,junior-high-school,J5624
6744,hogwarts-express,H2632
7068,hf100,H1
6175,snowing,S52
4292,bicycle-accident,B2423
5875,fishing-pole,F2521
7738,handshake,H532
579,art-gallery,A6324
9915,shaving,S152
8273,saipan,S15
1355,detroit-michigan,D3635
4607,extramarital-affair,E2365
5688,screaming,S2652
9323,domestic-quarrel,D5232
3749,reference-to-barry-white,R1652
9452,hula-hoop,H41
2649,prize,P62
8325,intelligence-mole,I5342
4997,dead-body-in-water,D3135
9052,alternate-version-of-same-incident,A4365
3802,pet-bird,P3163
3127,lock-out,L23
9409,gun-store,G5236
1196,wedding-anniversary,W3525
7812,singer-acting,S5262
9955,bust-of-caesar,B2312
7481,horseshoe,H62
5906,thunder,T536
224,cooking,C252
1310,new-york-yankees,N6252
6698,saber-fencing,S1615
9948,coin-flip,C5141
6534,puppet-maker,P1352
6854,united-nations,U5353
4835,groupie,G61
7814,admiral,A3564
6212,giant-insect,G5352
1535,hero,H6
1884,reporter,R1636
1690,panel-game,P5425
2606,china,C5
83,critically-acclaimed,C6324
2862,kissing,K252
1105,cult,C43
3502,women's-college,W5242
4000,river-of-blood,R1614
6445,body-waxing,B3252
1925,webseries,W1262
5852,controversy,C5361
5607,grade-school,G6324
724,military,M436
4151,fear-of-ghosts,F6123
4805,summons,S52
7981,french-accent,F6525
2674,polaroid-camera,P4632
8062,christmas-eve,C6235
2919,mental-disorder,M5343
3371,expectant-father,E2123
2333,cocaine,C25
2573,comedy-troupe,C5361
5240,car-showroom,C6265
2869,cheating,C352
5106,dna,D5
9414,telescopic-rifle,T4212
8374,toyota-starlet,T3236
238,insecurity,I5263
9131,marriage-for-money,M6216
9597,year-1919,Y6
821,religion-versus-science,R4251
9883,telegraph,T4261
5117,passport,P2163
5720,strike,S362
9050,year-1912,Y6
9613,year-1916,Y6
9757,stabbed-with-a-letter-opener,S3134
5181,garden-center,G6352
264,plastic-surgery,P4232
2538,hurt,H63
5624,meteorologist,M3642
5310,glass,G42
9101,lord,L63
5879,hole,H4
9848,seeking-love,S2524
7624,mother-superior,M3621
9060,framed-picture,F6531
8011,reference-to-the-sphinx,R1652
651,bound-and-gagged,B5353
9919,gold-coin,G4325
5091,locker,L26
4432,victorian-house,V2365
538,caiman,C5
8519,magic-carpet,M2613
2743,swiss-bank-account,S2152
276,cold-open,C4315
9625,sudden-death,S353
5265,police-station,P4235
2135,medical-drama,M3243
6815,100th-birthday,T163
893,cookery,C26
222,complaining,C5145
66,travel,T614
7783,cheetah,C3
8376,audi,A3
4483,private-property,P6131
7401,loss-of-friend,L2165
327,gaming,G52
9976,beauty,B3
2378,soccer-game,S2625
1635,reference-to-andy-warhol,R1652
9794,diagram,D265
3745,hispanic-woman,H2152
2209,gay-minister,G5236
9970,horse-stumbles,H6235
7168,extortion,E2363
1836,crucifix-pendant,C6212
7829,territory-name-in-title,T6365
6518,gum-paste,G5123
9830,truth-serum,T6326
1673,headquarters,H3263
4338,haunted-apartment,H5316
3620,wink,W52
5327,murder-suspect,M6362
9019,scotch-and-water,S2325
6839,nikon-camera,N2525
7545,wing,W52
4500,wind,W53
576,wine,W5
5787,blind,B453
2601,patricide,P3623
8156,gun-holster,G5423
6084,tool-box,T412
4833,spouse-abuse,S1212
7914,webisode,W123
6148,playhouse,P42
7234,crime-prevention,C6516
3504,backpack,B212
839,blood-brothers,B4316
7197,purse-snatcher,P6253
9930,draw-water-from-well,D6361
9501,men's-club,M5241
4572,wales,W42
6414,boa-constrictor,B2523
7813,singer-as-actor,S5262
9004,doghouse,D2
7309,yeti,Y3
8442,october-war,O2316
8047,herbal-medicine,H6145
2883,tow-truck,T362
4807,telephone-operator,T4151
228,drinking,D6525
9703,flower-in-hair,F4656
2423,iaido,I3
7376,silver,S416
9129,furniture-design,F6536
7145,scholar,S246
5035,video-game,V325
2670,human-bone,H515
9251,overactive-imagination,O1623
9677,reading-of-will,R3521
1121,mafia-boss,M12
602,boutique-hotel,B3234
718,arrow,A6
3806,temporary-blindness,T5161
5522,volcano,V425
2431,tea-shop,T21
5144,burial,B64
7831,angola,A524
2614,iraq-war,I626
7639,series,S62
582,distillery,D2346
4196,spider,S136
6903,camden-yards,C5356
7437,turnip,T651
6066,laboratory,L1636
8857,neck-breaking,N2162
6379,drag-queen,D625
5718,shame,S5
2251,oprah,O16
8940,business-deal,B2523
5971,paper-bag,P1612
8819,homoeroticism,H5632
5089,keys,K2
31,bribe-attempt,B6135
4888,problem-solving,P6145
8726,hosted-television-series,H2341
7311,south-pole,S314
6252,true-love,T641
6556,grecian-pottery,G6251
7637,martial-arts,M6346
5552,business-takeover,B2523
4008,bloody-scratch,B4326
828,1910s,S
2354,fugitive,F231
6867,grapes,G612
4273,cornerstone,C6562
5249,rspca,R212
8683,car-jump,C6251
3216,reference-to-santa-claus,R1652
9,awkward-situation,A2632
5559,kitchen-maid,K3253
5134,diabetic,D132
1722,counter-terrorist,C5363
6238,atv,A31
2599,counter-terrorism,C5363
833,1970s,S
6402,drugged-drink,D6236
2131,wasp,W21
4748,rich-widow,R23
6662,film-reel,F4564
321,turned-into-animal,T6535
6551,film-shoot,F4523
6230,knight,K523
7838,niger,N26
7138,jumping-to-death,J5152
6138,baby-brother,B1636
1887,basketball,B2314
7771,low-budget-film,L1323
9603,shooting-movie,S3525
7570,service,S612
4968,internal-affairs,I5365
3046,engagement,E5253
484,tango,T52
6671,jazz-pianist,J2152
6514,concept-cake,C5213
8013,stock,S32
2556,dead-mother,D3536
7596,collapse,C412
4252,haunted-by-the-past,H5313
3737,full-moon,F45
9152,insurance-money,I5265
6929,evil,E14
6210,laugh-track,L2362
5702,wealthy-family,W4315
6759,16th-birthday,T163
1146,double-standard,D1423
2365,outlaw,O34
2069,handcuffs,H5321
548,tree,T6
845,shower,S6
4260,pneumonia,P5
1596,war-on-terrorism,W6536
6012,battle-against-evil,B3425
3438,reference-to-marx,R1652
8991,white-rat,W363
7343,selflessness,S4142
6799,tournament-scrabble-player,T6532
5421,freeze-to-death,F623
4382,reference-to-psalm-23,R1652
7807,kidnap,K351
8148,escalator,E2436
2483,glastonbury-festival,G4235
9471,garden-swing,G6352
202,boy-scout,B23
7552,divan,D15
1519,balkan-war,B4256
790,pop-culture,P1243
2945,moving-on,M1525
8361,porsche-panamera,P6215
5562,matriarch,M362
6038,furrier,F6
1076,slash-in-title,S4253
3589,contact-lens,C5323
322,addict,A323
3945,letter,L36
8135,manic-laughter,M5242
3075,age-difference,A2316
1835,video-file,V314
2364,morality,M643
5438,dummy,D5
807,singer,S526
6764,episode,E123
9689,snooping,S5152
5927,arm-injury,A6526
5589,professor,P6126
7764,camp,C51
192,lap-dancer,L1352
658,stand-up-comedy,S3531
3931,hiding-under-covers,H3525
3342,wealthy-parent,W4316
5588,prime-minister,P6523
1185,first-anniversary,F6235
1056,scream,S265
4446,crowbar,C616
8667,russian-drug-dealer,R2536
1717,bomb,B51
597,tequila,T24
6920,christopher-columbus,C6231
1367,george-h.w.-bush,G6212
1937,travois,T612
6928,death-by-falling,D3145
4525,ulcer,U426
1110,sexism,S25
7332,leather-jacket,L3623
6309,hungary,H526
6711,thai,T
1995,wanted-poster,W5312
1390,business-partner,B2521
3376,in-vitro-fertilization,I5136
8298,stuck-in-elevator,S3254
6098,menu,M5
4566,jacobite,J213
188,buxom,B25
9954,bust,B23
5894,cougar,C26
3623,bush,B2
2871,pledge-of-allegiance,P4321
9974,doc-holliday,D243
8434,rich,R2
7340,rice,R2
8899,sound-effect,S5312
6378,porton-down,P6353
6460,dinner-date,D563
9284,big-break,B2162
1279,guano,G5
4744,magazine-publisher,M2514
218,clumsiness,C4525
7194,bow-and-arrow,B536
2799,baseball-bat,B2141
2640,coming-out-of-a-coma,C5231
6557,greek-mythology,G6253
5038,army-veteran,A6513
5088,hostage-situation,H2323
8259,airplane-shot-down,A6145
2612,jaguar,J26
2326,baltimore-ravens,B4356
5928,broken-leg,B6254
7259,crime-victim,C6512
6954,sandhill-crane,S5342
4294,boarder,B636
1245,pretzel,P6324
736,wounded-man,W535
9270,killed-in-shower,K4352
9093,pouring-drink-over-someone,P6523
3648,frigidity,F623
9912,red-wine,R35
6767,gym-locker,G5426
8575,self-hatred,S4136
7084,computer-animation,C5136
3252,disaster,D236
442,fair,F6
3166,heirloom,H645
9718,horse's-hooves,H6212
2719,consummation,C5253
9403,iron-curtain,I6526
1797,black-u.s.-president,B4216
5177,custom-official,C2351
6256,baby-seal,B124
8114,interior-monologue,I5365
6430,internet-video,I5365
4460,hammer,H56
6922,deadpan,D315
5850,apple-computer,A1425
4405,demonologist,D5423
5824,urban-renewal,U6156
390,silent-movie-sequence,S4535
8635,scorn,S265
6587,60th-birthday,T163
6146,missing-item,M2523
3665,pirate,P63
449,nature,N36
392,voice-of-god,V2123
9709,torture-rack,T6362
892,italian-food,I3451
7412,defiance,D152
3181,debt,D13
1372,tyranny,T65
620,south-africa,S3162
995,accident,A2353
7118,comedy-sketch,C5323
9622,oath,O3
2171,new-orleans-louisiana,N6452
4189,incense,I5252
5944,rock-throwing,R2365
1276,double-date,D143
9909,bead-curtain,B3263
9763,third-degree-burn,T6326
3128,obscenity,O1253
2513,stockholm-syndrome,S3245
805,rock-singer,R2526
5878,hay-bale,H14
5721,working-mom,W6252
8980,burying-a-corpse-in-a-cellar,B6526
6380,male-prostitute,M4162
5114,homicide-investigation,H5235
7854,bar-keeper,B6216
7709,canyon,C5
2962,george-washington,G6252
997,con-artist,C5632
569,paris-france,P6216
679,pregnancy,P6252
1389,blonde,B453
4586,girls'-boarding-school,G6421
9568,oversized-book,O1623
6646,lighthouse,L232
8593,game-of-chance,G5125
6158,trapdoor,T6136
6381,pornographic-film,P6526
3694,hearing-voices,H6521
9700,saw-woman-in-half,S541
9524,startled,S3634
1526,cricket-the-game,C6232
3294,borough-name-in-title,B6253
8470,branding-iron,B6535
2539,jackass,J2
5455,japanese-army,J1526
778,life,L1
8712,electrocution,E4236
7609,spit,S13
12,café,C1
9824,prostitute-wife,P6231
6225,filmmaker,F4526
8095,boardroom,B6365
4907,chile,C4
3939,child,C43
4795,chili,C4
8538,flying-boat,F4521
6358,spin,S15
7501,wildcat,W4323
4892,commerce,C562
7002,taken-for-granted,T2516
5286,female-police-officer,F5414
9454,chemical-structure,C5242
1931,empty-canteen,E5132
4046,unwanted-gift,U5321
4187,flooding,F4352
2754,narcissism,N625
393,based-on-comic,B2352
