1,7532,112,1000000103,
2,92382,100,53,
3,122463,101,4.0,
4,165729,99,1..1..3.11,
5,777027,100,6,
6,11,101,6.3,
7,24,99,1.11.1...4,
8,24,100,7,
9,24,101,3.3,
10,50,99,0000011112,
11,50,100,3030,
12,50,101,6.0,
13,51,99,00.0012201,
14,51,100,55,
15,51,101,6.8,
16,52,99,0..0012201,
17,52,100,43,
18,52,101,6.7,
19,53,99,0..0011111,
20,53,100,41,
21,53,101,6.5,
22,54,99,0.0.012101,
23,54,100,48,
24,54,101,6.9,
25,55,99,0...013101,
26,55,100,39,
27,55,101,6.9,
28,56,99,0.00012102,
29,56,100,42,
30,56,101,6.5,
31,57,99,00.0022111,
32,57,100,40,
33,57,101,6.3,
34,58,99,0..0013101,
35,58,100,33,
36,58,101,6.4,
37,59,99,0..0012101,
38,59,100,44,
39,59,101,6.4,
40,60,99,0.0.102202,
41,60,100,49,
42,60,101,7.0,
43,61,99,0000221101,
44,61,100,103,
45,61,101,5.9,
46,62,99,0..0012111,
47,62,100,42,
48,62,101,6.8,
49,63,99,0..0012011,
50,63,100,41,
51,63,101,6.5,
52,64,99,0.00021101,
53,64,100,48,
54,64,101,6.6,
55,65,99,0.00013201,
56,65,100,36,
57,65,101,6.5,
58,66,99,0...002212,
59,66,100,42,
60,66,101,6.8,
61,67,99,0.00111101,
62,67,100,68,
63,67,101,6.3,
64,68,99,0000012111,
65,68,100,50,
66,68,101,6.2,
67,69,99,2...1.2002,
68,69,100,13,
69,69,101,3.3,
70,82,99,00..2.2.03,
71,82,100,13,
72,82,101,5.8,
73,85,99,....021201,
74,85,100,12,
75,85,101,6.9,
76,86,99,2..10.0021,
77,86,100,13,
78,86,101,5.7,
79,106,99,.0...31003,
80,106,100,13,
81,106,101,6.5,
82,114,99,40010....3,
83,114,100,22,
84,114,101,2.3,
85,118,99,2000110002,
86,118,100,136,
87,118,101,6.0,
88,196,99,3000000.03,
89,196,100,45,
90,196,101,2.0,
91,211,99,..21.0.003,
92,211,100,13,
93,211,101,4.4,
94,228,99,00..1.0122,
95,228,100,17,
96,228,101,7.6,
97,272,99,..1.1.2003,
98,272,100,13,
99,272,101,5.6,
100,284,99,0000000124,
101,284,100,10125,
102,284,101,8.1,
103,285,99,0....02202,
104,285,100,23,
105,285,101,7.3,
106,286,99,0...002112,
107,286,100,26,
108,286,101,7.3,
109,287,99,...0.13102,
110,287,100,23,
111,287,101,7.8,
112,288,99,00.0.02212,
113,288,100,35,
114,288,101,7.7,
115,289,99,0...012102,
116,289,100,26,
117,289,101,7.7,
118,290,99,0..0000024,
119,290,100,58,
120,290,101,8.1,
121,291,99,.....03202,
122,291,100,21,
123,291,101,7.9,
124,292,99,0...001213,
125,292,100,29,
126,292,101,7.6,
127,293,99,0...002202,
128,293,100,25,
129,293,101,7.2,
130,294,99,.0...02103,
131,294,100,24,
132,294,101,7.8,
133,295,99,...0003102,
134,295,100,22,
135,295,101,7.6,
136,296,99,00.0001212,
137,296,100,50,
138,296,101,7.7,
139,297,99,0....01212,
140,297,100,31,
141,297,101,7.8,
142,298,99,0.0..02112,
143,298,100,32,
144,298,101,7.8,
145,299,99,..0..03202,
146,299,100,24,
147,299,101,7.8,
148,300,99,0....01222,
149,300,100,36,
150,300,101,8.1,
151,301,99,0.0...2222,
152,301,100,44,
153,301,101,7.9,
154,302,99,..0..03112,
155,302,100,25,
156,302,101,7.9,
157,303,99,0...001213,
158,303,100,32,
159,303,101,7.7,
160,304,99,0..0.01113,
161,304,100,33,
162,304,101,7.7,
163,305,99,0..0.02212,
164,305,100,33,
165,305,101,7.9,
166,306,99,0...0.3112,
167,306,100,30,
168,306,101,7.5,
169,307,99,1....02212,
170,307,100,27,
171,307,101,7.3,
172,308,99,...0.04101,
173,308,100,21,
174,308,101,7.5,
175,309,99,0....02122,
176,309,100,27,
177,309,101,7.5,
178,310,99,0....01222,
179,310,100,51,
180,310,101,7.7,
181,311,99,00..001202,
182,311,100,31,
183,311,101,7.5,
184,312,99,0..0.00212,
185,312,100,51,
186,312,101,7.6,
187,313,99,0...002222,
188,313,100,45,
189,313,101,7.7,
190,314,99,0.0.002222,
191,314,100,52,
192,314,101,8.1,
193,315,99,....0.4112,
194,315,100,21,
195,315,101,7.8,
196,316,99,0...0.2113,
197,316,100,32,
