SQL,Optimizer,Join order,duration
17d.sql, Dynamic Programming, 6--4---3---2---1---5--0---, 3.068
17e.sql, Dynamic Programming, 6--4---3---2---1---5--0---, 2.979
16a.sql, Dynamic Programming, 1--0---6---5--3----7--4---2---, 3.274
11c.sql, Dynamic Programming, 6--5---3---2---4--0---1---7---, 3.01
10a.sql, Dynamic Programming, 6--4---3---2---5--1----0--, 2.984
11a.sql, Dynamic Programming, 6--5---3---2---4--0---1---7---, 3.092
12a.sql, Dynamic Programming, 6--5---3---2---4--0---1---7---, 2.833
14c.sql, Dynamic Programming, 7--6---3---2---5--1---4--0----, 2.85
16c.sql, Dynamic Programming, 1--0---6---5--3----7--4---2---, 3.221
18a.sql, Dynamic Programming, 6--4---3---2---1---5--0---, 3.111
17f.sql, Dynamic Programming, 6--4---3---2---1---5--0---, 3.056
11d.sql, Dynamic Programming, 6--5---3---2---4--0---1---7---, 2.806
10c.sql, Dynamic Programming, 6--4---3---2---5--1----0--, 2.936
10b.sql, Dynamic Programming, 6--4---3---2---5--1----0--, 3.161
17a.sql, Dynamic Programming, 6--4---3---2---1---5--0---, 3.035
14a.sql, Dynamic Programming, 7--6---3---2---5--1---4--0----, 2.792
12c.sql, Dynamic Programming, 6--5---3---2---4--0---1---7---, 2.71
16d.sql, Dynamic Programming, 1--0---6---5--3----7--4---2---, 3.136
11b.sql, Dynamic Programming, 6--5---3---2---4--0---1---7---, 3.158
17c.sql, Dynamic Programming, 6--4---3---2---1---5--0---, 2.848
18b.sql, Dynamic Programming, 6--4---3---2---1---5--0---, 2.945
16b.sql, Dynamic Programming, 1--0---6---5--3----7--4---2---, 3.159
18c.sql, Dynamic Programming, 6--4---3---2---1---5--0---, 3.081
12b.sql, Dynamic Programming, 6--5---3---2---4--0---1---7---, 2.835
17b.sql, Dynamic Programming, 6--4---3---2---1---5--0---, 2.878
14b.sql, Dynamic Programming, 7--6---3---2---5--1---4--0----, 3.019
