SQL,Optimizer,Join order,duration
6f.sql, RL Optimizer, 0-2-1-4-3-, 0.49
6d.sql, RL Optimizer, 0-2-1-3-4-, 0.461
5a.sql, RL Optimizer, 0-2-3-1-4-, 0.439
5c.sql, RL Optimizer, 0-2-3-1-4-, 0.427
8a.sql, RL Optimizer, 1-0-3-2-4-5-6-, 0.568
4b.sql, RL Optimizer, 0-2-3-1-4-, 0.344
3a.sql, RL Optimizer, 0-2-1-3-, 0.363
1b.sql, RL Optimizer, 0-2-3-1-4-, 0.388
6c.sql, RL Optimizer, 0-2-1-3-4-, 0.334
4c.sql, RL Optimizer, 0-2-3-1-4-, 0.364
5b.sql, RL Optimizer, 0-2-3-1-4-, 0.387
9b.sql, RL Optimizer, 1-2-0-4-3-5-6-7-, 0.746
6a.sql, RL Optimizer, 1-2-0-3-4-, 0.408
8b.sql, RL Optimizer, 1-0-3-2-4-5-6-, 0.65
2d.sql, RL Optimizer, 0-2-3-1-4-, 0.362
2c.sql, RL Optimizer, 0-2-3-1-4-, 0.353
7b.sql, RL Optimizer, 1-0-4-5-3-6-2-7-, 0.696
7c.sql, RL Optimizer, 1-0-4-3-5-7-6-2-, 0.782
9d.sql, RL Optimizer, 1-2-0-4-3-5-6-7-, 0.744
6e.sql, RL Optimizer, 1-2-0-3-4-, 0.455
3c.sql, RL Optimizer, 0-2-1-3-, 0.412
8c.sql, RL Optimizer, 1-0-3-2-4-5-6-, 0.593
1a.sql, RL Optimizer, 0-2-3-1-4-, 0.435
3b.sql, RL Optimizer, 0-2-1-3-, 0.327
1c.sql, RL Optimizer, 0-2-3-1-4-, 0.427
7a.sql, RL Optimizer, 1-0-4-3-5-6-2-7-, 0.715
4a.sql, RL Optimizer, 1-3-2-0-4-, 0.403
9a.sql, RL Optimizer, 1-2-0-4-3-5-6-7-, 0.781
2b.sql, RL Optimizer, 1-3-2-0-4-, 0.393
8d.sql, RL Optimizer, 1-0-3-2-4-5-6-, 0.595
9c.sql, RL Optimizer, 1-2-0-4-3-5-6-7-, 0.757
1d.sql, RL Optimizer, 1-3-2-0-4-, 0.468
6b.sql, RL Optimizer, 0-2-1-3-4-, 0.516
2a.sql, RL Optimizer, 0-2-3-1-4-, 0.381
