Group,Optimizer,Execution Tme
30c.sql,Dynamic Programming,2321.05
6f.sql,Dynamic Programming,2409.92
22b.sql,Dynamic Programming,907.009
24b.sql,Dynamic Programming,1348.49
6d.sql,Dynamic Programming,416.609
17d.sql,Dynamic Programming,1257.05
13b.sql,Dynamic Programming,1156.92
17e.sql,Dynamic Programming,3111.66
5a.sql,Dynamic Programming,953.725
15d.sql,Dynamic Programming,1720.59
16a.sql,Dynamic Programming,4318.27
11c.sql,Dynamic Programming,163.407
10a.sql,Dynamic Programming,947.737
11a.sql,Dynamic Programming,165.803
5c.sql,Dynamic Programming,1391.61
29b.sql,Dynamic Programming,1111.1
8a.sql,Dynamic Programming,593.454
12a.sql,Dynamic Programming,615.567
14c.sql,Dynamic Programming,1571.72
19a.sql,Dynamic Programming,1455.54
16c.sql,Dynamic Programming,4276.23
4b.sql,Dynamic Programming,120.574
33a.sql,Dynamic Programming,468.26
3a.sql,Dynamic Programming,1074.4
1b.sql,Dynamic Programming,390.14
18a.sql,Dynamic Programming,5293.72
15b.sql,Dynamic Programming,541.77
23c.sql,Dynamic Programming,629.361
26b.sql,Dynamic Programming,747.411
19c.sql,Dynamic Programming,1531.16
17f.sql,Dynamic Programming,1923.01
27c.sql,Dynamic Programming,950.159
6c.sql,Dynamic Programming,259.353
28a.sql,Dynamic Programming,1365.68
32a.sql,Dynamic Programming,362.822
11d.sql,Dynamic Programming,247.962
19d.sql,Dynamic Programming,4300.57
4c.sql,Dynamic Programming,524.344
26a.sql,Dynamic Programming,865.255
10c.sql,Dynamic Programming,1332.59
5b.sql,Dynamic Programming,650.927
9b.sql,Dynamic Programming,739.116
10b.sql,Dynamic Programming,835.807
6a.sql,Dynamic Programming,323.089
30a.sql,Dynamic Programming,1642.01
23b.sql,Dynamic Programming,455.163
31a.sql,Dynamic Programming,1672.69
8b.sql,Dynamic Programming,476.649
2d.sql,Dynamic Programming,1102.33
15a.sql,Dynamic Programming,561.489
15c.sql,Dynamic Programming,1283.25
33c.sql,Dynamic Programming,1263.62
2c.sql,Dynamic Programming,1103.54
21a.sql,Dynamic Programming,966.78
17a.sql,Dynamic Programming,1458.08
13c.sql,Dynamic Programming,1091.98
31b.sql,Dynamic Programming,1666.08
20c.sql,Dynamic Programming,1328.84
7b.sql,Dynamic Programming,371.748
21c.sql,Dynamic Programming,971.127
7c.sql,Dynamic Programming,1680.19
25b.sql,Dynamic Programming,1199.87
9d.sql,Dynamic Programming,1254.22
28c.sql,Dynamic Programming,1400.52
14a.sql,Dynamic Programming,1310.74
25a.sql,Dynamic Programming,2989.55
12c.sql,Dynamic Programming,879.986
16d.sql,Dynamic Programming,4452.62
20a.sql,Dynamic Programming,1017.7
6e.sql,Dynamic Programming,417.443
3c.sql,Dynamic Programming,1762.29
8c.sql,Dynamic Programming,4642.25
11b.sql,Dynamic Programming,114.969
21b.sql,Dynamic Programming,540.357
19b.sql,Dynamic Programming,1119.31
24a.sql,Dynamic Programming,1561.92
1a.sql,Dynamic Programming,320.55
23a.sql,Dynamic Programming,540.265
29c.sql,Dynamic Programming,1515.58
22a.sql,Dynamic Programming,916.863
26c.sql,Dynamic Programming,990.688
27a.sql,Dynamic Programming,649.998
17c.sql,Dynamic Programming,1190.35
30b.sql,Dynamic Programming,1620.24
3b.sql,Dynamic Programming,535.999
18b.sql,Dynamic Programming,1308.51
33b.sql,Dynamic Programming,428.792
1c.sql,Dynamic Programming,148.533
31c.sql,Dynamic Programming,2465.3
28b.sql,Dynamic Programming,782.583
7a.sql,Dynamic Programming,599.724
4a.sql,Dynamic Programming,310.442
16b.sql,Dynamic Programming,6166.3
18c.sql,Dynamic Programming,2209.48
20b.sql,Dynamic Programming,472.435
9a.sql,Dynamic Programming,943.547
22c.sql,Dynamic Programming,1452.19
22d.sql,Dynamic Programming,1577.03
2b.sql,Dynamic Programming,1097.06
8d.sql,Dynamic Programming,3367.31
32b.sql,Dynamic Programming,366.554
9c.sql,Dynamic Programming,1166.73
12b.sql,Dynamic Programming,228.7
17b.sql,Dynamic Programming,1280.29
1d.sql,Dynamic Programming,456.804
27b.sql,Dynamic Programming,631.425
13a.sql,Dynamic Programming,1827.08
25c.sql,Dynamic Programming,4814.71
6b.sql,Dynamic Programming,289.733
2a.sql,Dynamic Programming,1142.14
13d.sql,Dynamic Programming,1377.97
29a.sql,Dynamic Programming,1296.86
14b.sql,Dynamic Programming,1183.12
30c.sql,Dynamic Programming,2332.4
6f.sql,Dynamic Programming,2401.09
22b.sql,Dynamic Programming,926.473
24b.sql,Dynamic Programming,1344.29
6d.sql,Dynamic Programming,417.162
17d.sql,Dynamic Programming,1262.12
13b.sql,Dynamic Programming,1169.36
17e.sql,Dynamic Programming,3121.38
5a.sql,Dynamic Programming,948.691
15d.sql,Dynamic Programming,1720.5
16a.sql,Dynamic Programming,4325.08
11c.sql,Dynamic Programming,165.623
10a.sql,Dynamic Programming,944.863
11a.sql,Dynamic Programming,164.702
5c.sql,Dynamic Programming,1387.12
29b.sql,Dynamic Programming,1097.72
8a.sql,Dynamic Programming,589.97
12a.sql,Dynamic Programming,613.917
14c.sql,Dynamic Programming,1576.26
19a.sql,Dynamic Programming,1449.48
16c.sql,Dynamic Programming,4276.12
4b.sql,Dynamic Programming,121.906
33a.sql,Dynamic Programming,469.557
3a.sql,Dynamic Programming,1077.06
1b.sql,Dynamic Programming,391.96
18a.sql,Dynamic Programming,5287.77
15b.sql,Dynamic Programming,540.734
23c.sql,Dynamic Programming,635.882
26b.sql,Dynamic Programming,744.436
19c.sql,Dynamic Programming,1523.76
17f.sql,Dynamic Programming,1928.37
27c.sql,Dynamic Programming,958.601
6c.sql,Dynamic Programming,258.722
28a.sql,Dynamic Programming,1365.64
32a.sql,Dynamic Programming,362.579
11d.sql,Dynamic Programming,249.116
19d.sql,Dynamic Programming,4274.94
4c.sql,Dynamic Programming,527.868
26a.sql,Dynamic Programming,862.912
10c.sql,Dynamic Programming,1334.39
5b.sql,Dynamic Programming,643.246
9b.sql,Dynamic Programming,735.607
10b.sql,Dynamic Programming,836.62
6a.sql,Dynamic Programming,318.53
30a.sql,Dynamic Programming,1632.27
23b.sql,Dynamic Programming,458.22
31a.sql,Dynamic Programming,1656.61
8b.sql,Dynamic Programming,467.457
2d.sql,Dynamic Programming,1101.55
15a.sql,Dynamic Programming,560.24
15c.sql,Dynamic Programming,1279.84
33c.sql,Dynamic Programming,1267.06
2c.sql,Dynamic Programming,1101.88
21a.sql,Dynamic Programming,966.759
17a.sql,Dynamic Programming,1454.97
13c.sql,Dynamic Programming,1094.46
31b.sql,Dynamic Programming,1663.94
20c.sql,Dynamic Programming,1326.12
7b.sql,Dynamic Programming,372.586
21c.sql,Dynamic Programming,982.893
7c.sql,Dynamic Programming,1684.95
25b.sql,Dynamic Programming,1198.93
9d.sql,Dynamic Programming,1253.44
28c.sql,Dynamic Programming,1399.03
14a.sql,Dynamic Programming,1311.44
25a.sql,Dynamic Programming,2971.47
12c.sql,Dynamic Programming,882.834
16d.sql,Dynamic Programming,4466.17
20a.sql,Dynamic Programming,1013.01
6e.sql,Dynamic Programming,414.817
3c.sql,Dynamic Programming,1761.83
8c.sql,Dynamic Programming,4617.3
11b.sql,Dynamic Programming,113.703
21b.sql,Dynamic Programming,536.031
19b.sql,Dynamic Programming,1120.11
24a.sql,Dynamic Programming,1545.81
1a.sql,Dynamic Programming,321.192
23a.sql,Dynamic Programming,538.625
29c.sql,Dynamic Programming,1503.95
22a.sql,Dynamic Programming,922.187
26c.sql,Dynamic Programming,988.152
27a.sql,Dynamic Programming,644.24
17c.sql,Dynamic Programming,1188.47
30b.sql,Dynamic Programming,1620.95
3b.sql,Dynamic Programming,541.692
18b.sql,Dynamic Programming,1314.52
33b.sql,Dynamic Programming,428.041
1c.sql,Dynamic Programming,146.422
31c.sql,Dynamic Programming,2451.53
28b.sql,Dynamic Programming,805.89
7a.sql,Dynamic Programming,600.943
4a.sql,Dynamic Programming,310.165
16b.sql,Dynamic Programming,6175.12
18c.sql,Dynamic Programming,2220.19
20b.sql,Dynamic Programming,472.645
9a.sql,Dynamic Programming,938.114
22c.sql,Dynamic Programming,1453.43
22d.sql,Dynamic Programming,1582.27
2b.sql,Dynamic Programming,1092.87
8d.sql,Dynamic Programming,3379.79
32b.sql,Dynamic Programming,369.762
9c.sql,Dynamic Programming,1153.62
12b.sql,Dynamic Programming,231.252
17b.sql,Dynamic Programming,1272.28
1d.sql,Dynamic Programming,457.662
27b.sql,Dynamic Programming,631.307
13a.sql,Dynamic Programming,1827.75
25c.sql,Dynamic Programming,4801.37
6b.sql,Dynamic Programming,290.833
2a.sql,Dynamic Programming,1153.1
13d.sql,Dynamic Programming,1382.9
29a.sql,Dynamic Programming,1288.19
14b.sql,Dynamic Programming,1188.61
30c.sql,Dynamic Programming,2323.67
6f.sql,Dynamic Programming,2409.8
22b.sql,Dynamic Programming,903.391
24b.sql,Dynamic Programming,1342.58
6d.sql,Dynamic Programming,413.645
17d.sql,Dynamic Programming,1261
13b.sql,Dynamic Programming,1167.27
17e.sql,Dynamic Programming,3129.76
5a.sql,Dynamic Programming,958.838
15d.sql,Dynamic Programming,1719.89
16a.sql,Dynamic Programming,4320.51
11c.sql,Dynamic Programming,164.19
10a.sql,Dynamic Programming,948.244
11a.sql,Dynamic Programming,163.263
5c.sql,Dynamic Programming,1388.72
29b.sql,Dynamic Programming,1099.48
8a.sql,Dynamic Programming,594.472
12a.sql,Dynamic Programming,611.496
14c.sql,Dynamic Programming,1584.08
19a.sql,Dynamic Programming,1441.6
16c.sql,Dynamic Programming,4289.72
4b.sql,Dynamic Programming,119.923
33a.sql,Dynamic Programming,468.485
3a.sql,Dynamic Programming,1064.7
1b.sql,Dynamic Programming,388.183
18a.sql,Dynamic Programming,5289.84
15b.sql,Dynamic Programming,543.338
23c.sql,Dynamic Programming,631.774
26b.sql,Dynamic Programming,742.621
19c.sql,Dynamic Programming,1527.94
17f.sql,Dynamic Programming,1943.95
27c.sql,Dynamic Programming,949.731
6c.sql,Dynamic Programming,257.21
28a.sql,Dynamic Programming,1369.06
32a.sql,Dynamic Programming,362.265
11d.sql,Dynamic Programming,247.144
19d.sql,Dynamic Programming,4263.67
4c.sql,Dynamic Programming,527.929
26a.sql,Dynamic Programming,857.294
10c.sql,Dynamic Programming,1326.62
5b.sql,Dynamic Programming,642.92
9b.sql,Dynamic Programming,734.908
10b.sql,Dynamic Programming,840.021
6a.sql,Dynamic Programming,319.08
30a.sql,Dynamic Programming,1631.49
23b.sql,Dynamic Programming,456.355
31a.sql,Dynamic Programming,1659.82
8b.sql,Dynamic Programming,478.282
2d.sql,Dynamic Programming,1104.99
15a.sql,Dynamic Programming,562.096
15c.sql,Dynamic Programming,1277.45
33c.sql,Dynamic Programming,1277.88
2c.sql,Dynamic Programming,1106.31
21a.sql,Dynamic Programming,967.492
17a.sql,Dynamic Programming,1458.14
13c.sql,Dynamic Programming,1105.01
31b.sql,Dynamic Programming,1665.53
20c.sql,Dynamic Programming,1332.45
7b.sql,Dynamic Programming,368.114
21c.sql,Dynamic Programming,977.186
7c.sql,Dynamic Programming,1694.4
25b.sql,Dynamic Programming,1200.44
9d.sql,Dynamic Programming,1244.87
28c.sql,Dynamic Programming,1399.73
14a.sql,Dynamic Programming,1308.82
25a.sql,Dynamic Programming,2986.71
12c.sql,Dynamic Programming,895.661
16d.sql,Dynamic Programming,4464.56
20a.sql,Dynamic Programming,1021.69
6e.sql,Dynamic Programming,412.822
3c.sql,Dynamic Programming,1761.67
8c.sql,Dynamic Programming,4596.17
11b.sql,Dynamic Programming,115.8
21b.sql,Dynamic Programming,542.168
19b.sql,Dynamic Programming,1118.88
