Group,Optimizer,ExecutionTme
1b.sql,Dynamic Programming,390.14
1a.sql,Dynamic Programming,320.55
1c.sql,Dynamic Programming,148.533
1d.sql,Dynamic Programming,456.804
1b.sql,Dynamic Programming,391.96
1a.sql,Dynamic Programming,321.192
1c.sql,Dynamic Programming,146.422
1d.sql,Dynamic Programming,457.662
1b.sql,Dynamic Programming,388.183
1a.sql,Dynamic Programming,321.764
1c.sql,Dynamic Programming,150.055
1d.sql,Dynamic Programming,459.002
1b.sql,Dynamic Programming,388.708
1a.sql,Dynamic Programming,321.949
1c.sql,Dynamic Programming,146.974
1d.sql,Dynamic Programming,458.154
1b.sql,Dynamic Programming,391.271
1a.sql,Dynamic Programming,321.878
1c.sql,Dynamic Programming,148.594
1d.sql,Dynamic Programming,459.382
1b.sql,Dynamic Programming,389.741
1a.sql,Dynamic Programming,325.582
1c.sql,Dynamic Programming,146.446
1d.sql,Dynamic Programming,457.37
1b.sql,Dynamic Programming,387.369
1a.sql,Dynamic Programming,318.754
1c.sql,Dynamic Programming,147.26
1d.sql,Dynamic Programming,457.496
1b.sql,Dynamic Programming,388.076
1a.sql,Dynamic Programming,322.629
1c.sql,Dynamic Programming,146.752
1d.sql,Dynamic Programming,456.526
1b.sql,Dynamic Programming,389.239
1a.sql,Dynamic Programming,319.12
1c.sql,Dynamic Programming,147.961
1d.sql,Dynamic Programming,459.881
1b.sql,Dynamic Programming,387.621
1a.sql,Dynamic Programming,320.568
1c.sql,Dynamic Programming,147.946
1d.sql,Dynamic Programming,457.694
1b.sql,Reinforcement Learning,91.651
1a.sql,Reinforcement Learning,131.084
1c.sql,Reinforcement Learning,88.747
1d.sql,Reinforcement Learning,87.307
1a.sql,Reinforcement Learning,130.477
1b.sql,Reinforcement Learning,88.642
1c.sql,Reinforcement Learning,87.262
1d.sql,Reinforcement Learning,88.062
1b.sql,Reinforcement Learning,88.097
1a.sql,Reinforcement Learning,131.828
1c.sql,Reinforcement Learning,87.643
1d.sql,Reinforcement Learning,87.948
