Group,ReinforcementLearning,DynamicProgramming
5a.sql,,953.725
5c.sql,,1391.61
4b.sql,,120.574
3a.sql,,1074.4
1b.sql,,390.14
4c.sql,,524.344
5b.sql,,650.927
2d.sql,,1102.33
2c.sql,,1103.54
3c.sql,,1762.29
1a.sql,,320.55
3b.sql,,535.999
1c.sql,,148.533
4a.sql,,310.442
2b.sql,,1097.06
1d.sql,,456.804
2a.sql,,1142.14
5a.sql,,948.691
5c.sql,,1387.12
4b.sql,,121.906
3a.sql,,1077.06
1b.sql,,391.96
4c.sql,,527.868
5b.sql,,643.246
2d.sql,,1101.55
2c.sql,,1101.88
3c.sql,,1761.83
1a.sql,,321.192
3b.sql,,541.692
1c.sql,,146.422
4a.sql,,310.165
2b.sql,,1092.87
1d.sql,,457.662
2a.sql,,1153.1
5a.sql,,958.838
5c.sql,,1388.72
4b.sql,,119.923
3a.sql,,1064.7
1b.sql,,388.183
4c.sql,,527.929
5b.sql,,642.92
2d.sql,,1104.99
2c.sql,,1106.31
3c.sql,,1761.67
1a.sql,,321.764
3b.sql,,535.045
1c.sql,,150.055
4a.sql,,313.096
2b.sql,,1093.58
1d.sql,,459.002
2a.sql,,1146.24
5a.sql,,953.42
5c.sql,,1395.53
4b.sql,,121.238
3a.sql,,1073.47
1b.sql,,388.708
4c.sql,,522.148
5b.sql,,647.673
2d.sql,,1102.62
2c.sql,,1102.93
3c.sql,,1761.79
1a.sql,,321.949
3b.sql,,535.433
1c.sql,,146.974
4a.sql,,309.494
2b.sql,,1101.22
1d.sql,,458.154
2a.sql,,1127.96
5a.sql,,956.908
5c.sql,,1397.63
4b.sql,,121.187
3a.sql,,1070.49
1b.sql,,391.271
4c.sql,,523.321
5b.sql,,648.53
2d.sql,,1102.79
2c.sql,,1111.69
3c.sql,,1774.62
1a.sql,,321.878
3b.sql,,535.923
1c.sql,,148.594
4a.sql,,313.309
2b.sql,,1096.93
1d.sql,,459.382
2a.sql,,1142.84
5a.sql,,960.874
5c.sql,,1396.46
4b.sql,,120.441
3a.sql,,1066.62
1b.sql,,389.741
4c.sql,,527.045
5b.sql,,643.393
2d.sql,,1109.87
2c.sql,,1107.18
3c.sql,,1764.84
1a.sql,,325.582
3b.sql,,533.606
1c.sql,,146.446
4a.sql,,309.64
2b.sql,,1099.19
1d.sql,,457.37
2a.sql,,1145.27
5a.sql,,951.478
5c.sql,,1391.64
4b.sql,,121.048
3a.sql,,1068.91
1b.sql,,387.369
4c.sql,,526.965
5b.sql,,650.654
2d.sql,,1105.9
2c.sql,,1117.39
3c.sql,,1771.03
1a.sql,,318.754
3b.sql,,534.59
1c.sql,,147.26
4a.sql,,309.311
2b.sql,,1096.04
1d.sql,,457.496
2a.sql,,1142.42
5a.sql,,958.557
5c.sql,,1386.98
4b.sql,,119.932
3a.sql,,1068.14
1b.sql,,388.076
4c.sql,,522.593
5b.sql,,641.529
2d.sql,,1104.63
2c.sql,,1103.08
3c.sql,,1772.22
1a.sql,,322.629
3b.sql,,542.047
1c.sql,,146.752
4a.sql,,313.001
2b.sql,,1096.67
1d.sql,,456.526
2a.sql,,1137.86
5a.sql,,954.77
5c.sql,,1392.21
4b.sql,,120.747
3a.sql,,1075.9
1b.sql,,389.239
4c.sql,,525.513
5b.sql,,649.845
2d.sql,,1104.46
2c.sql,,1111.78
3c.sql,,1770.76
1a.sql,,319.12
3b.sql,,534.873
1c.sql,,147.961
4a.sql,,313.173
2b.sql,,1096.32
1d.sql,,459.881
2a.sql,,1143.97
5a.sql,,955.255
5c.sql,,1390.86
4b.sql,,121.011
3a.sql,,1075.13
1b.sql,,387.621
4c.sql,,522.471
5b.sql,,645.634
2d.sql,,1104.53
2c.sql,,1104.88
3c.sql,,1773.09
1a.sql,,320.568
3b.sql,,541.084
1c.sql,,147.946
4a.sql,,311.695
2b.sql,,1093.43
1d.sql,,457.694
2a.sql,,1150.21
5a.sql,120.812,
5c.sql,1249.03,
4b.sql,77.552,
3a.sql,901.974,
1b.sql,91.651,
4c.sql,178.832,
5b.sql,98.444,
2d.sql,279.022,
2c.sql,203.944,
3c.sql,1202.93,
1a.sql,131.084,
3b.sql,509.014,
1c.sql,88.747,
4a.sql,131.647,
2b.sql,294.935,
1d.sql,87.307,
2a.sql,256.448,
1a.sql,130.477,
1b.sql,88.642,
1c.sql,87.262,
1d.sql,88.062,
2a.sql,257.649,
2b.sql,292.525,
2c.sql,189.335,
2d.sql,279.209,
3a.sql,905.364,
3b.sql,505.476,
3c.sql,1199.52,
4a.sql,131.362,
4b.sql,78.452,
4c.sql,174.541,
5a.sql,122.94,
5b.sql,97.745,
5c.sql,1250.4,
5a.sql,119.666,
5c.sql,1254.55,
4b.sql,78.807,
3a.sql,901.359,
1b.sql,88.097,
4c.sql,181.376,
5b.sql,98.435,
2d.sql,278.748,
2c.sql,204.907,
3c.sql,1197.12,
1a.sql,131.828,
3b.sql,508.467,
1c.sql,87.643,
4a.sql,130.154,
2b.sql,291.411,
1d.sql,87.948,
2a.sql,256.371,
