Group,ReinforcementLearning,DynamicProgramming
1a.sql,0.873,1.873
1b.sql,0.688,0.688
1c.sql,0.659,0.659
1d.sql,0.601,0.601
2a.sql,0.489,0.489
2b.sql,0.492,0.492
2c.sql,0.431,0.431
2d.sql,0.445,0.445
3a.sql,0.514,0.514
3b.sql,0.48,0.48
3c.sql,0.435,0.435
4a.sql,0.597,0.597
4b.sql,0.59,0.59
4c.sql,0.569,0.569
5a.sql,1.066,1.066
5b.sql,0.735,0.735
5c.sql,0.892,0.892
6a.sql,0.663,0.663
6b.sql,0.646,0.646
6c.sql,0.679,0.679
6d.sql,0.85,0.85
6e.sql,0.64,0.64
6f.sql,1.018,1.018
7a.sql,3.728,3.728
7b.sql,3.686,3.686
7c.sql,3.736,3.736
8a.sql,3.035,3.035
8b.sql,3.031,3.031
8c.sql,2.71,2.71
8d.sql,2.679,2.679
9a.sql,3.284,3.284
9b.sql,3.377,3.377
9c.sql,2.972,2.972
9d.sql,3.006,3.006
10a.sql,0.873,0.873
10b.sql,0.688,0.688
10c.sql,0.659,0.659
11a.sql,0.601,0.601
11b.sql,0.489,0.489
11c.sql,0.492,0.492
11d.sql,0.431,0.431
12a.sql,0.445,0.445
12b.sql,0.514,0.514
12c.sql,0.48,0.48
13a.sql,0.435,0.435
13b.sql,0.597,0.597
13c.sql,0.59,0.59
13d.sql,0.569,0.569
14a.sql,1.066,1.066
14b.sql,0.735,0.735
14c.sql,0.892,0.892
15a.sql,0.663,0.663
15b.sql,0.646,0.646
15c.sql,0.679,0.679
15d.sql,0.85,0.85
16a.sql,0.64,0.64
16b.sql,1.018,1.018
16c.sql,3.728,3.728
16d.sql,3.686,3.686
17a.sql,3.736,3.736
17b.sql,3.035,3.035
17c.sql,3.031,3.031
17d.sql,2.71,2.71
17e.sql,2.679,2.679
17f.sql,3.284,3.284
18a.sql,3.377,3.377
18b.sql,2.972,2.972
18c.sql,3.006,3.006
19a.sql,0.873,0.873
19b.sql,0.688,0.688
19c.sql,0.659,0.659
19d.sql,0.601,0.601
20a.sql,0.489,0.489
20b.sql,0.492,0.492
20c.sql,0.431,0.431
21a.sql,0.445,0.445
21b.sql,0.514,0.514
21c.sql,0.48,0.48
22a.sql,0.435,0.435
22b.sql,0.597,0.597
22c.sql,0.59,0.59
22d.sql,0.569,0.569
23a.sql,1.066,1.066
23b.sql,0.735,0.735
23c.sql,0.892,0.892
24a.sql,0.663,0.663
24b.sql,0.646,0.646
25a.sql,0.679,0.679
25b.sql,0.85,0.85
25c.sql,0.64,0.64
26a.sql,1.018,1.018
26b.sql,3.728,3.728
26c.sql,3.686,3.686
27a.sql,3.736,3.736
27b.sql,3.035,3.035
27c.sql,3.031,3.031
28a.sql,2.71,2.71
28b.sql,2.679,2.679
28c.sql,3.284,3.284
29a.sql,3.377,3.377
29b.sql,2.972,2.972
29c.sql,3.006,3.006
30a.sql,3.736,3.728
30b.sql,3.035,3.686
30c.sql,3.031,3.736
31a.sql,2.71,3.035
31b.sql,2.679,3.031
31c.sql,3.284,2.71
32a.sql,3.377,2.679
32b.sql,2.972,3.284
33a.sql,3.006,3.377
33b.sql,2.972,2.972
33c.sql,3.006,3.006
1a.sql,1.873,1.873
1b.sql,1.688,1.688
1c.sql,1.659,1.659
1d.sql,1.601,1.601
2a.sql,1.489,1.489
2b.sql,1.492,1.492
2c.sql,1.431,1.431
2d.sql,1.445,1.445
3a.sql,1.514,1.514
3b.sql,1.48,1.48
3c.sql,1.435,1.435
4a.sql,1.597,1.597
4b.sql,1.59,1.59
4c.sql,1.569,1.569
5a.sql,1.066,1.066
5b.sql,1.735,1.735
5c.sql,1.892,1.892
6a.sql,1.663,1.663
6b.sql,1.646,1.646
6c.sql,1.679,1.679
6d.sql,1.85,1.85
6e.sql,1.64,1.64
6f.sql,1.018,1.018
7a.sql,3.728,3.728
7b.sql,3.686,3.686
7c.sql,3.736,3.736
8a.sql,3.035,3.035
8b.sql,3.031,3.031
8c.sql,2.71,2.71
8d.sql,2.679,2.679
9a.sql,3.284,3.284
9b.sql,3.377,3.377
9c.sql,2.972,2.972
9d.sql,3.006,3.006
10a.sql,1.873,1.873
10b.sql,1.688,1.688
10c.sql,1.659,1.659
11a.sql,1.601,1.601
11b.sql,1.489,1.489
11c.sql,1.492,1.492
11d.sql,1.431,1.431
12a.sql,1.445,1.445
12b.sql,1.514,1.514
12c.sql,1.48,1.48
13a.sql,1.435,1.435
13b.sql,1.597,1.597
13c.sql,1.59,1.59
13d.sql,1.569,1.569
14a.sql,1.066,1.066
14b.sql,1.735,1.735
14c.sql,1.892,1.892
15a.sql,1.663,1.663
15b.sql,1.646,1.646
15c.sql,1.679,1.679
15d.sql,1.85,1.85
16a.sql,1.64,1.64
16b.sql,1.018,1.018
16c.sql,3.728,3.728
16d.sql,3.686,3.686
17a.sql,3.736,3.736
17b.sql,3.035,3.035
17c.sql,3.031,3.031
17d.sql,2.71,2.71
17e.sql,2.679,2.679
17f.sql,3.284,3.284
18a.sql,3.377,3.377
18b.sql,2.972,2.972
18c.sql,3.006,3.006
19a.sql,1.873,1.873
19b.sql,1.688,1.688
19c.sql,1.659,1.659
19d.sql,1.601,1.601
20a.sql,1.489,1.489
20b.sql,1.492,1.492
20c.sql,1.431,1.431
21a.sql,1.445,1.445
21b.sql,1.514,1.514
21c.sql,1.48,1.48
22a.sql,1.435,1.435
22b.sql,1.597,1.597
22c.sql,1.59,1.59
22d.sql,1.569,1.569
23a.sql,1.066,1.066
23b.sql,1.735,1.735
23c.sql,1.892,1.892
24a.sql,1.663,1.663
24b.sql,1.646,1.646
25a.sql,1.679,1.679
25b.sql,1.85,1.85
25c.sql,1.64,1.64
26a.sql,1.018,1.018
26b.sql,3.728,3.728
26c.sql,3.686,3.686
27a.sql,3.736,3.736
27b.sql,3.035,3.035
27c.sql,3.031,3.031
28a.sql,2.71,2.71
28b.sql,2.679,2.679
28c.sql,3.284,3.284
29a.sql,3.377,3.377
29b.sql,2.972,2.972
29c.sql,3.006,3.006
30a.sql,3.736,3.728
30b.sql,3.035,3.686
30c.sql,3.031,3.736
31a.sql,2.71,3.035
31b.sql,2.679,3.031
31c.sql,3.284,2.71
32a.sql,3.377,2.679
32b.sql,2.972,3.284
33a.sql,3.006,3.377
33b.sql,2.972,2.972
33c.sql,3.006,3.006
