Query,Optimizer,Loop,JoinOrder,PreparationTime,ExecutionTime,TotalTime
30c.sql,SkinnerDB,10,10-3-0-1-2-7-4-8-5-9-6-11-,24.304,30717.3,30756.9
6f.sql,SkinnerDB,9,2-1-0-3-4-,4.601,1397.4,1411.74
22b.sql,SkinnerDB,10,10-5-7-2-9-4-8-3-6-0-1-,13.78,28881.1,28904
24b.sql,SkinnerDB,10,10-2-0-1-6-3-7-4-8-5-9-11-,13.737,29080,29107.8
6d.sql,SkinnerDB,10,2-4-0-3-1-,5.176,22595.7,22607.9
17d.sql,SkinnerDB,10,5-0-6-3-1-4-2-,5.464,891.9,907.417
13b.sql,SkinnerDB,10,7-6-3-5-1-0-2-8-4-,8.248,1834.56,1847.79
17e.sql,SkinnerDB,10,5-0-6-3-1-4-2-,5.017,130288,130308
5a.sql,SkinnerDB,10,2-4-0-3-1-,4.708,127.62,133.684
15d.sql,SkinnerDB,10,7-6-3-0-5-2-1-4-8-,8.221,572.406,591.52
16a.sql,SkinnerDB,10,5-4-2-1-0-6-3-7-,7.168,251158,251199
11c.sql,SkinnerDB,10,5-2-4-0-1-6-3-7-,8.277,311.875,328.291
10a.sql,SkinnerDB,10,5-1-6-0-4-2-3-,6.04,968.495,984.252
11a.sql,SkinnerDB,10,5-2-4-0-1-6-3-7-,8.331,183.109,194.601
5c.sql,SkinnerDB,10,2-4-0-3-1-,4.841,28588.7,28596.6
29b.sql,SkinnerDB,10,10-5-4-0-13-15-14-8-1-2-6-11-7-12-9-3-16-,19.844,26028.1,26058.7
8a.sql,SkinnerDB,10,5-1-4-0-3-2-6-,6.658,608.165,621.695
12a.sql,SkinnerDB,10,5-2-4-0-1-6-3-7-,7.723,27904.7,27916.3
14c.sql,SkinnerDB,10,5-1-4-0-6-2-7-3-,8.349,29509.3,29524
19a.sql,SkinnerDB,10,9-5-3-6-4-2-0-1-7-8-,10.594,28768.4,28783.6
16c.sql,SkinnerDB,10,7-4-2-1-0-6-5-3-,6.66,19970.7,19984.8
4b.sql,SkinnerDB,10,2-4-0-3-1-,3.843,79.386,83.313
33a.sql,SkinnerDB,10,10-8-1-3-11-9-2-7-6-12-4-0-13-5-,15.017,554.118,577.247
3a.sql,SkinnerDB,10,0-2-3-1-,4.138,28159.4,28165.4
