SQL,Optimizer,Join order,duration
8a.sql,RL Optimizer,1-0-3-2-4-5-6-,0.994
4b.sql,RL Optimizer,0-2-3-1-4-,0.338
1b.sql,RL Optimizer,0-2-3-1-4-,0.347
6c.sql,RL Optimizer,0-2-1-3-4-,0.31
4c.sql,RL Optimizer,0-2-3-1-4-,0.332
5b.sql,RL Optimizer,0-2-3-1-4-,0.342
9b.sql,RL Optimizer,1-2-0-4-3-5-6-7-,1.96
6a.sql,RL Optimizer,1-2-0-3-4-,0.616
8b.sql,RL Optimizer,2-3-1-0-4-5-6-,1.364
2d.sql,RL Optimizer,0-2-3-1-4-,0.625
2c.sql,RL Optimizer,0-2-3-1-4-,0.618
7b.sql,RL Optimizer,1-0-4-3-5-6-2-7-,0.636
7c.sql,RL Optimizer,1-0-4-3-5-6-2-7-,0.707
9d.sql,RL Optimizer,1-2-0-4-3-5-6-7-,0.665
6e.sql,RL Optimizer,1-2-0-3-4-,0.374
8c.sql,RL Optimizer,1-0-3-2-4-5-6-,0.512
1a.sql,RL Optimizer,0-2-3-1-4-,0.379
3b.sql,RL Optimizer,0-2-1-3-,0.275
1c.sql,RL Optimizer,0-2-3-1-4-,0.378
7a.sql,RL Optimizer,1-0-4-3-5-6-2-7-,0.663
4a.sql,RL Optimizer,1-3-2-0-4-,0.381
9a.sql,RL Optimizer,1-2-0-4-3-5-6-7-,0.743
2b.sql,RL Optimizer,1-3-2-0-4-,0.356
8d.sql,RL Optimizer,1-0-3-2-4-5-6-,0.543
9c.sql,RL Optimizer,1-2-0-4-3-5-6-7-,0.682
1d.sql,RL Optimizer,1-3-2-0-4-,0.387
2a.sql,RL Optimizer,0-2-3-1-4-,0.318
