Group,Optimizer,Loop,JoinOrder,Reward,Duration
30c.sql,Dynamic Programming,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,NULL,2321.05
6f.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,2409.92
22b.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,907.009
24b.sql,Dynamic Programming,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,NULL,1348.49
6d.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,416.609
17d.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1257.05
13b.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1156.92
17e.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,3111.66
5a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,953.725
15d.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,1720.59
16a.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4318.27
11c.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,163.407
10a.sql,Dynamic Programming,NULL,6--4---3---2---5--1----0--,NULL,947.737
11a.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,165.803
5c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1391.61
29b.sql,Dynamic Programming,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,NULL,1111.1
8a.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,593.454
12a.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,615.567
14c.sql,Dynamic Programming,NULL,4--0---7--6---5---3---2---1---,NULL,1571.72
19a.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,1455.54
16c.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4276.23
4b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,120.574
33a.sql,Dynamic Programming,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,NULL,468.26
3a.sql,Dynamic Programming,NULL,3--2---1---0--,NULL,1074.4
1b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,390.14
18a.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,5293.72
15b.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,541.77
