Group,Optimizer,JoinOrder,ExecutionTime,Loop,Table,Edge
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,947.737,0,7,7
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,944.863,0,7,7
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,948.244,0,7,7
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,948.416,0,7,7
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,952.159,0,7,7
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,948.476,0,7,7
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,956.905,0,7,7
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,945,0,7,7
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,951.347,0,7,7
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,949.624,0,7,7
10a.sql,Reinforcement Learning,2-4-3-1-0-5-6-,839.324,0,7,7
10a.sql,Reinforcement Learning,2-4-3-1-5-0-6-,837.225,0,7,7
10a.sql,Reinforcement Learning,2-4-3-1-5-0-6-,829.808,0,7,7
10a.sql,Reinforcement Learning,2-4-3-1-5-0-6-,834.234,0,7,7
10a.sql,Reinforcement Learning,2-4-1-5-0-3-6-,853.31,0,7,7
10a.sql,Reinforcement Learning,2-4-1-0-3-5-6-,813.516,0,7,7
10a.sql,Reinforcement Learning,2-4-1-0-3-5-6-,837.777,0,7,7
10a.sql,Reinforcement Learning,2-4-1-5-3-0-6-,831.682,0,7,7
10a.sql,Reinforcement Learning,2-4-3-1-0-5-6-,813.53,0,7,7
10a.sql,Reinforcement Learning,2-4-3-6-1-0-5-,841.843,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,835.807,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,836.62,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,840.021,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,834.374,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,837.373,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,836.928,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,837.373,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,828.381,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,838.799,0,7,7
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,834.545,0,7,7
10b.sql,Reinforcement Learning,2-4-1-5-0-6-3-,811.428,0,7,7
10b.sql,Reinforcement Learning,2-4-6-3-1-0-5-,806.532,0,7,7
10b.sql,Reinforcement Learning,2-4-1-5-0-3-6-,805.583,0,7,7
10b.sql,Reinforcement Learning,2-4-3-1-0-6-5-,805.303,0,7,7
10b.sql,Reinforcement Learning,2-4-1-0-3-5-6-,805.355,0,7,7
10b.sql,Reinforcement Learning,2-4-3-6-1-5-0-,805.28,0,7,7
10b.sql,Reinforcement Learning,2-4-1-5-3-0-6-,803.811,0,7,7
10b.sql,Reinforcement Learning,2-4-3-6-1-5-0-,805.359,0,7,7
10b.sql,Reinforcement Learning,2-4-1-0-3-5-6-,807.025,0,7,7
10b.sql,Reinforcement Learning,2-4-3-1-5-0-6-,800.118,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1332.59,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1334.39,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1326.62,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1326.12,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1327.84,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1326.53,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1328.02,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1324.87,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1327.41,0,7,7
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1325.74,0,7,7
10c.sql,Reinforcement Learning,0-1-4-2-5-6-3-,940.836,0,7,7
10c.sql,Reinforcement Learning,0-1-4-3-2-5-6-,927.069,0,7,7
10c.sql,Reinforcement Learning,0-1-5-4-3-2-6-,933.702,0,7,7
10c.sql,Reinforcement Learning,0-1-5-4-2-3-6-,927.729,0,7,7
10c.sql,Reinforcement Learning,0-1-4-3-5-2-6-,932.733,0,7,7
10c.sql,Reinforcement Learning,0-1-5-4-6-2-3-,934.919,0,7,7
10c.sql,Reinforcement Learning,0-1-5-4-6-2-3-,929.902,0,7,7
10c.sql,Reinforcement Learning,0-1-5-4-3-6-2-,928.844,0,7,7
10c.sql,Reinforcement Learning,0-1-4-5-3-2-6-,938.754,0,7,7
10c.sql,Reinforcement Learning,0-1-4-3-5-6-2-,935.144,0,7,7
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,165.803,0,8,10
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.702,0,8,10
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,163.263,0,8,10
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,162.571,0,8,10
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.206,0,8,10
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,165.815,0,8,10
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.13,0,8,10
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,163.403,0,8,10
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,163.297,0,8,10
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,162.667,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-1-7-5-2-,142.779,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-7-1-5-2-,140.227,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-7-1-5-2-,140.604,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-1-5-2-7-,144.503,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-7-1-5-2-,140.342,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-1-7-5-2-,139.602,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-7-1-5-2-,139.543,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-1-7-5-2-,140.564,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-1-5-2-7-,141.417,0,8,10
11a.sql,Reinforcement Learning,3-6-4-0-7-1-5-2-,140.546,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,114.969,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,113.703,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,115.8,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,114.681,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,117.216,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,114.368,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,115.315,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,114.888,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,115.496,0,8,10
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,113.994,0,8,10
11b.sql,Reinforcement Learning,3-6-4-0-1-5-7-2-,89.598,0,8,10
11b.sql,Reinforcement Learning,3-6-4-0-1-5-2-7-,86.769,0,8,10
11b.sql,Reinforcement Learning,3-6-4-0-1-5-2-7-,88.305,0,8,10
11b.sql,Reinforcement Learning,3-6-4-1-0-5-2-7-,87.357,0,8,10
11b.sql,Reinforcement Learning,3-6-4-0-1-5-2-7-,88.298,0,8,10
11b.sql,Reinforcement Learning,3-6-4-0-1-5-2-7-,89.875,0,8,10
11b.sql,Reinforcement Learning,3-6-4-0-5-2-1-7-,88.272,0,8,10
11b.sql,Reinforcement Learning,3-6-4-0-5-2-1-7-,92.663,0,8,10
11b.sql,Reinforcement Learning,3-6-4-0-5-2-1-7-,88.381,0,8,10
11b.sql,Reinforcement Learning,3-6-4-0-1-5-2-7-,87.74,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,163.407,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,165.623,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.19,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.128,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,162.391,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.381,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.667,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.24,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,163.315,0,8,10
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,165.268,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-3-4-1-0-,280.812,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-4-0-1-3-,278.655,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-3-4-0-1-,278.707,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-3-4-0-1-,278.565,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-4-3-1-0-,279.245,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-3-4-1-0-,270.13,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-3-4-1-0-,280.214,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-3-4-0-1-,278.544,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-3-4-0-1-,256.098,0,8,10
11c.sql,Reinforcement Learning,2-5-6-7-3-4-0-1-,276.746,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,247.962,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,249.116,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,247.144,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,246.263,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,244.673,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,246.288,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,247.697,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,245.99,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,246.616,0,8,10
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,245.749,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-3-4-0-1-,321.864,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-4-0-3-1-,293.772,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-3-4-1-0-,294.255,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-3-4-1-0-,286.053,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-3-4-1-0-,295.848,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-4-3-1-0-,319.853,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-3-4-1-0-,293.021,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-3-4-0-1-,296.676,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-3-4-1-0-,293.723,0,8,10
11d.sql,Reinforcement Learning,2-5-6-7-4-0-1-3-,295.566,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,615.567,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,613.917,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,611.496,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,611.436,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,618.03,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,614.839,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,609.774,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,616.498,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,610.96,0,8,10
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,620.042,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-0-5-7-2-,552.221,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-5-2-0-7-,547.85,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-5-7-0-2-,545.969,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-0-5-2-7-,546.497,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-0-5-2-7-,546.489,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-5-0-7-2-,550.437,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-0-5-2-7-,546.96,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-5-2-0-7-,543.5,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-5-2-7-0-,552.317,0,8,10
12a.sql,Reinforcement Learning,3-6-4-1-5-0-2-7-,548.404,0,8,10
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,228.7,0,8,10
