Group,Optimizer,JoinOrder,ExecutionTime
30c.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,2321.05
6f.sql,Dynamic Programming,4--2---1---3--0---,2409.92
22b.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,907.009
24b.sql,Dynamic Programming,2--1---10---9--0----11--8---7---6---5---4---3---,1348.49
6d.sql,Dynamic Programming,4--2---1---3--0---,416.609
17d.sql,Dynamic Programming,6--4---3---2---1---5--0---,1257.05
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1156.92
17e.sql,Dynamic Programming,6--4---3---2---1---5--0---,3111.66
5a.sql,Dynamic Programming,4--3---2---1---0--,953.725
15d.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,1720.59
16a.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4318.27
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,163.407
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,947.737
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,165.803
5c.sql,Dynamic Programming,4--3---2---1---0--,1391.61
29b.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1111.1
8a.sql,Dynamic Programming,6--5--3--2---4--1------0--,593.454
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,615.567
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1571.72
19a.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1455.54
16c.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4276.23
4b.sql,Dynamic Programming,4--3---2---1---0--,120.574
33a.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,468.26
3a.sql,Dynamic Programming,3--2---1---0--,1074.4
1b.sql,Dynamic Programming,4--3---2---1---0--,390.14
18a.sql,Dynamic Programming,6--4---3---2---1---5--0---,5293.72
15b.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,541.77
23c.sql,Dynamic Programming,8--4---9--5---7--2---3---10--6---1--0------,629.361
26b.sql,Dynamic Programming,4--3---10---9--6---11--7---8--5---1--0---2------,747.411
19c.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1531.16
17f.sql,Dynamic Programming,6--4---3---2---1---5--0---,1923.01
27c.sql,Dynamic Programming,9--5---7--3---4---1--0---2---10--6----11-----8--,950.159
6c.sql,Dynamic Programming,4--2---1---3--0---,259.353
28a.sql,Dynamic Programming,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,1365.68
32a.sql,Dynamic Programming,5--4--3----2---1---0--,362.822
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,247.962
19d.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,4300.57
4c.sql,Dynamic Programming,4--3---2---1---0--,524.344
26a.sql,Dynamic Programming,4--3---10---9--6---11--7---8--5---1--0---2------,865.255
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1332.59
5b.sql,Dynamic Programming,4--3---2---1---0--,650.927
9b.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,739.116
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,835.807
6a.sql,Dynamic Programming,4--2---1---3--0---,323.089
30a.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,1642.01
23b.sql,Dynamic Programming,8--4---9--5---7--2---3---10--6---1--0------,455.163
31a.sql,Dynamic Programming,9--0---6--2---8--4---5--1---7--3---10------,1672.69
8b.sql,Dynamic Programming,6--5--3--2---4--1------0--,476.649
2d.sql,Dynamic Programming,4--3---2---1---0--,1102.33
15a.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,561.489
15c.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,1283.25
33c.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,1263.62
2c.sql,Dynamic Programming,4--3---2---1---0--,1103.54
21a.sql,Dynamic Programming,6--2---4--0---1---8--7---3-----5--,966.78
17a.sql,Dynamic Programming,6--4---3---2---1---5--0---,1458.08
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1091.98
31b.sql,Dynamic Programming,9--0---6--2---8--4---5--1---7--3---10------,1666.08
20c.sql,Dynamic Programming,8--4---3---7--5---9--6---1--0---2-----,1328.84
7b.sql,Dynamic Programming,7--4---3---1---6--0---2---5---,371.748
21c.sql,Dynamic Programming,6--2---4--0---1---8--7---3-----5--,971.127
7c.sql,Dynamic Programming,7--4---3---1---6--0---2---5---,1680.19
