1b.sql, optimizer = RL Optimizer, loop = 0, join_order = 0-2-3-1-4-, reward = -14.668, duration(ms) = 14.668
1b.sql, optimizer = RL Optimizer, loop = 1, join_order = 1-3-2-0-4-, reward = -11.769, duration(ms) = 11.769
1b.sql, optimizer = RL Optimizer, loop = 2, join_order = 2-0-3-1-4-, reward = -11.391, duration(ms) = 11.391
1b.sql, optimizer = RL Optimizer, loop = 3, join_order = 3-2-0-1-4-, reward = -10.49, duration(ms) = 10.49
1b.sql, optimizer = RL Optimizer, loop = 4, join_order = 4-2-0-3-1-, reward = -12.751, duration(ms) = 12.751
1b.sql, optimizer = RL Optimizer, loop = 5, join_order = 3-1-2-0-4-, reward = -13.666, duration(ms) = 13.666
1b.sql, optimizer = RL Optimizer, loop = 6, join_order = 1-3-4-2-0-, reward = -14.237, duration(ms) = 14.237
1b.sql, optimizer = RL Optimizer, loop = 7, join_order = 2-3-1-0-4-, reward = -13.988, duration(ms) = 13.988
1b.sql, optimizer = RL Optimizer, loop = 8, join_order = 3-4-2-0-1-, reward = -16.677, duration(ms) = 16.677
1b.sql, optimizer = RL Optimizer, loop = 9, join_order = 4-3-1-2-0-, reward = -17.309, duration(ms) = 17.309
1b.sql, optimizer = RL Optimizer, loop = 10, join_order = 1-3-2-4-0-, reward = -13.215, duration(ms) = 13.215
1b.sql, optimizer = RL Optimizer, loop = 11, join_order = 1-3-2-0-4-, reward = -23.945, duration(ms) = 12.176
1b.sql, optimizer = RL Optimizer, loop = 12, join_order = 1-3-2-0-4-, reward = -35.169, duration(ms) = 11.224
1b.sql, optimizer = RL Optimizer, loop = 13, join_order = 1-3-2-0-4-, reward = -47.705, duration(ms) = 12.536
1b.sql, optimizer = RL Optimizer, loop = 14, join_order = 1-3-2-0-4-, reward = -60.749, duration(ms) = 13.044
1b.sql, optimizer = RL Optimizer, loop = 15, join_order = 1-3-2-0-4-, reward = -72.754, duration(ms) = 12.005
final plan found in loop 15
duration(ms) = 223.742
1c.sql, optimizer = RL Optimizer, loop = 0, join_order = 0-2-3-1-4-, reward = -12.111, duration(ms) = 12.111
1c.sql, optimizer = RL Optimizer, loop = 1, join_order = 1-3-2-0-4-, reward = -13.882, duration(ms) = 13.882
1c.sql, optimizer = RL Optimizer, loop = 2, join_order = 2-0-3-1-4-, reward = -15.017, duration(ms) = 15.017
1c.sql, optimizer = RL Optimizer, loop = 3, join_order = 3-2-0-1-4-, reward = -12.368, duration(ms) = 12.368
1c.sql, optimizer = RL Optimizer, loop = 4, join_order = 4-2-0-3-1-, reward = -12.684, duration(ms) = 12.684
1c.sql, optimizer = RL Optimizer, loop = 5, join_order = 0-2-4-3-1-, reward = -14.291, duration(ms) = 14.291
1c.sql, optimizer = RL Optimizer, loop = 6, join_order = 3-1-2-0-4-, reward = -13.636, duration(ms) = 13.636
1c.sql, optimizer = RL Optimizer, loop = 7, join_order = 4-3-1-2-0-, reward = -11.784, duration(ms) = 11.784
1c.sql, optimizer = RL Optimizer, loop = 8, join_order = 4-3-2-0-1-, reward = -13.841, duration(ms) = 13.841
1c.sql, optimizer = RL Optimizer, loop = 9, join_order = 0-2-3-4-1-, reward = -14.348, duration(ms) = 14.348
1c.sql, optimizer = RL Optimizer, loop = 10, join_order = 1-3-4-2-0-, reward = -16.721, duration(ms) = 16.721
1c.sql, optimizer = RL Optimizer, loop = 11, join_order = 3-4-2-0-1-, reward = -14.161, duration(ms) = 14.161
1c.sql, optimizer = RL Optimizer, loop = 12, join_order = 4-2-3-1-0-, reward = -12.626, duration(ms) = 12.626
1c.sql, optimizer = RL Optimizer, loop = 13, join_order = 4-2-0-3-1-, reward = -24.707, duration(ms) = 12.023
1c.sql, optimizer = RL Optimizer, loop = 14, join_order = 4-2-3-0-1-, reward = -11.496, duration(ms) = 11.496
1c.sql, optimizer = RL Optimizer, loop = 15, join_order = 4-2-3-0-1-, reward = -23.784, duration(ms) = 12.288
1c.sql, optimizer = RL Optimizer, loop = 16, join_order = 4-2-0-3-1-, reward = -41.76, duration(ms) = 17.053
1c.sql, optimizer = RL Optimizer, loop = 17, join_order = 0-2-3-1-4-, reward = -31.139, duration(ms) = 19.028
1c.sql, optimizer = RL Optimizer, loop = 18, join_order = 3-2-1-0-4-, reward = -15.24, duration(ms) = 15.24
1c.sql, optimizer = RL Optimizer, loop = 19, join_order = 2-3-1-0-4-, reward = -13.766, duration(ms) = 13.766
1c.sql, optimizer = RL Optimizer, loop = 20, join_order = 2-4-0-3-1-, reward = -19.493, duration(ms) = 19.493
1c.sql, optimizer = RL Optimizer, loop = 21, join_order = 3-1-4-2-0-, reward = -24.793, duration(ms) = 24.793
1c.sql, optimizer = RL Optimizer, loop = 22, join_order = 4-3-1-2-0-, reward = -29.491, duration(ms) = 17.707
1c.sql, optimizer = RL Optimizer, loop = 23, join_order = 4-2-3-1-0-, reward = -32.404, duration(ms) = 19.778
1c.sql, optimizer = RL Optimizer, loop = 24, join_order = 0-2-4-3-1-, reward = -31.86, duration(ms) = 17.569
1c.sql, optimizer = RL Optimizer, loop = 25, join_order = 1-3-2-4-0-, reward = -17.043, duration(ms) = 17.043
1c.sql, optimizer = RL Optimizer, loop = 26, join_order = 4-2-0-3-1-, reward = -55.951, duration(ms) = 14.191
1c.sql, optimizer = RL Optimizer, loop = 27, join_order = 4-2-0-3-1-, reward = -68.652, duration(ms) = 12.701
1c.sql, optimizer = RL Optimizer, loop = 28, join_order = 4-2-0-3-1-, reward = -82.728, duration(ms) = 14.076
1c.sql, optimizer = RL Optimizer, loop = 29, join_order = 4-2-0-3-1-, reward = -94.752, duration(ms) = 12.024
1c.sql, optimizer = RL Optimizer, loop = 30, join_order = 4-2-0-3-1-, reward = -105.814, duration(ms) = 11.062
final plan found in loop 30
duration(ms) = 475.305
1a.sql, optimizer = RL Optimizer, loop = 0, join_order = 0-2-3-1-4-, reward = -14.69, duration(ms) = 14.69
