Group,Optimizer,Loop,JoinOrder,ExecutionTime
30c.sql,Reinforcement Learning,60,6-9-3-11-0-8-2-5-10-7-1-4-,2152.83
6f.sql,Reinforcement Learning,10,1-2-0-4-3-,1324.18
22b.sql,Reinforcement Learning,65,4-9-10-8-6-5-0-3-7-1-2-,882.681
24b.sql,Reinforcement Learning,72,5-8-11-7-4-2-1-0-10-9-6-3-,1231.81
6d.sql,Reinforcement Learning,10,3-0-2-4-1-,407.996
17d.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,544.114
13b.sql,Reinforcement Learning,45,4-8-5-1-6-3-0-7-2-,222.428
17e.sql,Reinforcement Learning,18,2-4-0-3-1-6-5-,1919.79
5a.sql,Reinforcement Learning,12,0-2-3-1-4-,120.812
15d.sql,Reinforcement Learning,41,3-6-7-8-5-1-0-4-2-,454.634
16a.sql,Reinforcement Learning,24,7-5-3-1-0-6-4-2-,516.694
11c.sql,Reinforcement Learning,30,2-5-6-7-3-4-1-0-,280.812
10a.sql,Reinforcement Learning,44,2-4-3-1-0-5-6-,839.324
11a.sql,Reinforcement Learning,24,3-6-4-0-1-7-5-2-,142.779
5c.sql,Reinforcement Learning,11,0-2-3-1-4-,1249.03
8a.sql,Reinforcement Learning,67,4-1-0-5-3-2-6-,589.86
12a.sql,Reinforcement Learning,23,3-6-4-1-0-5-7-2-,552.221
14c.sql,Reinforcement Learning,23,2-6-7-5-1-3-4-0-,1232.39
16c.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,786.263
4b.sql,Reinforcement Learning,11,0-2-4-3-1-,77.552
3a.sql,Reinforcement Learning,8,0-2-3-1-,901.974
1b.sql,Reinforcement Learning,9,1-3-4-2-0-,91.651
18a.sql,Reinforcement Learning,15,1-3-0-5-6-4-2-,911.643
15b.sql,Reinforcement Learning,58,1-5-7-8-4-0-2-6-3-,463.879
26b.sql,Reinforcement Learning,60,6-9-8-0-5-1-4-10-3-2-11-7-,628.236
19c.sql,Reinforcement Learning,78,7-2-9-6-4-1-0-8-5-3-,1248.64
17f.sql,Reinforcement Learning,16,2-4-0-5-3-6-1-,1009.65
6c.sql,Reinforcement Learning,12,1-2-0-4-3-,249.1
32a.sql,Reinforcement Learning,20,5-3-2-0-4-1-,260.527
11d.sql,Reinforcement Learning,23,2-5-6-7-3-4-0-1-,321.864
19d.sql,Reinforcement Learning,53,7-2-9-6-4-5-3-1-8-0-,2303.98
4c.sql,Reinforcement Learning,9,1-3-4-2-0-,178.832
26a.sql,Reinforcement Learning,76,6-9-0-1-4-3-8-5-2-11-10-7-,996.745
10c.sql,Reinforcement Learning,41,0-1-4-2-5-6-3-,940.836
5b.sql,Reinforcement Learning,10,0-2-4-3-1-,98.444
9b.sql,Reinforcement Learning,28,5-0-2-6-1-4-3-7-,697.01
10b.sql,Reinforcement Learning,31,2-4-1-5-0-6-3-,811.428
6a.sql,Reinforcement Learning,11,1-2-0-3-4-,284.673
30a.sql,Reinforcement Learning,60,6-9-3-11-0-2-10-1-8-7-4-5-,1465.86
31a.sql,Reinforcement Learning,56,1-5-8-4-10-0-7-6-2-3-9-,1505.39
8b.sql,Reinforcement Learning,96,4-1-3-5-2-6-0-,471.091
2d.sql,Reinforcement Learning,9,1-3-4-2-0-,279.022
15a.sql,Reinforcement Learning,62,3-6-7-8-0-4-5-1-2-,591.226
15c.sql,Reinforcement Learning,70,6-7-8-3-5-2-1-4-0-,623.867
2c.sql,Reinforcement Learning,10,0-2-4-3-1-,203.944
21a.sql,Reinforcement Learning,27,2-6-7-8-5-3-4-0-1-,964.583
17a.sql,Reinforcement Learning,17,2-4-0-5-3-1-6-,886.778
13c.sql,Reinforcement Learning,63,8-5-1-6-3-0-4-7-2-,177.442
31b.sql,Reinforcement Learning,47,4-8-10-0-7-9-6-2-5-3-1-,1468.17
20c.sql,Reinforcement Learning,28,5-7-0-1-4-3-2-8-9-6-,966.409
7b.sql,Reinforcement Learning,67,6-2-1-7-4-3-5-0-,284.774
21c.sql,Reinforcement Learning,29,2-6-7-8-5-3-4-1-0-,1039.88
7c.sql,Reinforcement Learning,59,5-1-4-6-7-2-3-0-,1057.37
25b.sql,Reinforcement Learning,41,3-6-8-5-0-7-4-2-1-,1198.48
9d.sql,Reinforcement Learning,29,5-2-7-4-3-1-6-0-,1132.67
14a.sql,Reinforcement Learning,21,2-6-7-5-1-4-0-3-,1196.06
25a.sql,Reinforcement Learning,33,3-6-0-7-8-4-1-5-2-,1318.58
12c.sql,Reinforcement Learning,30,3-6-5-7-2-4-1-0-,808.954
16d.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,730.153
20a.sql,Reinforcement Learning,67,3-4-9-7-5-6-0-1-2-8-,737.705
