Group,Optimizer,PreparationTime,ExecutionTime,TotalTime,Loop
29a.sql,Dynamic Programming,3.657,33048.8,33055,0
29a.sql,Dynamic Programming,3.635,33019.1,33025.3,0
29a.sql,Dynamic Programming,3.625,33051.4,33057.6,0
29a.sql,Dynamic Programming,3.66,33035.9,33042.1,0
29a.sql,Dynamic Programming,3.613,33014.8,33021,0
29a.sql,Dynamic Programming,3.61,32979.9,32986,0
29a.sql,Dynamic Programming,3.651,33049.7,33055.9,0
29a.sql,Dynamic Programming,3.64,33025.6,33031.8,0
29a.sql,Dynamic Programming,3.65,33028.6,33034.9,0
29a.sql,Dynamic Programming,3.659,33035,33041.2,0
29a.sql,Dynamic Programming,3.638,33085.4,33091.7,0
29a.sql,Dynamic Programming,3.644,33062.7,33068.9,0
29a.sql,Dynamic Programming,3.647,33015.3,33021.5,0
29a.sql,Dynamic Programming,3.606,32981.4,32987.7,0
29a.sql,Dynamic Programming,3.655,32996.2,33002.4,0
29a.sql,Dynamic Programming,3.663,33039,33045.4,0
29a.sql,Dynamic Programming,3.633,32984.2,32990.4,0
29a.sql,Dynamic Programming,3.636,33025.9,33032.1,0
29a.sql,Dynamic Programming,3.645,33028.2,33034.6,0
29a.sql,Dynamic Programming,3.62,33013.8,33020,0
29a.sql,Reinforcement Learning,2.219,32171.3,32173.5,99
29a.sql,Reinforcement Learning,2.463,32257.8,32260.3,99
29a.sql,Reinforcement Learning,2.45,32250.5,32253,99
29a.sql,Reinforcement Learning,2.258,32212.8,32215,99
29a.sql,Reinforcement Learning,2.236,32228.1,32230.4,99
29a.sql,Reinforcement Learning,1.906,32223.6,32225.5,99
29a.sql,Reinforcement Learning,2.431,32355.8,32358.2,99
29a.sql,Reinforcement Learning,2.69,32296.5,32299.2,99
29a.sql,Reinforcement Learning,2.428,32313.2,32315.7,99
29a.sql,Reinforcement Learning,2.385,32208.6,32210.9,99
29a.sql,Reinforcement Learning,2.025,32168.6,32170.6,99
29a.sql,Reinforcement Learning,2.402,32289.7,32292.1,99
29a.sql,Reinforcement Learning,2.295,32272.6,32274.9,99
29a.sql,Reinforcement Learning,2.309,32234.8,32237.1,99
29a.sql,Reinforcement Learning,2.297,32181,32183.3,99
29a.sql,Reinforcement Learning,2.748,32384.1,32386.8,99
29a.sql,Reinforcement Learning,2.257,32155,32157.2,99
29a.sql,Reinforcement Learning,2.108,32207.6,32209.7,99
29a.sql,Reinforcement Learning,2.468,32250.8,32253.3,99
29a.sql,Reinforcement Learning,2.38,32203.6,32205.9,99
